"","101","2024","7","555","min_abs_cor","stable"
"Factor1",0.999999348057113,0.999999028734068,0.999999191012619,0.999999946422165,0.999999028734068,TRUE
"Factor2",0.999979310513941,0.999983457602557,0.999977187027488,0.999998391176115,0.999977187027488,TRUE
"Factor3",0.999836170450673,0.999918934578727,0.999675149484522,0.999998673472868,0.999675149484522,TRUE
"Factor4",0.999950531080857,0.999989602388771,0.999913307905332,0.99999833463135,0.999913307905332,TRUE
"Factor5",0.972709710872883,0.997530644335153,0.960593122582071,0.99964397715648,0.960593122582071,TRUE
"Factor6",0.967117085683358,0.996930593447707,0.953169516810416,0.999567843246775,0.953169516810416,TRUE
"Factor7",0.99997816530047,0.999994931796397,0.99997077784029,0.999999731316036,0.99997077784029,TRUE
"Factor8",0.999992274380203,0.999994786150733,0.999990401419302,0.999999444369267,0.999990401419302,TRUE
"Factor9",0.9999794012603,0.999643974220931,0.999933761677533,0.999949739765947,0.999643974220931,TRUE
"Factor10",0.999944404487246,0.999594606205457,0.999921824389401,0.999939538090978,0.999594606205457,TRUE
